# extract_institutional_competence.py started 2026-06-02T19:20:28.800287+00:00
======================================================================
Estonian Legal Ontology - Institutional Competence Extraction
======================================================================

  Found 16061 law files to process
  Loaded 113 canonical institution suffixes

[1/4] Processing law files (per-file idempotent)...
  WARN: truncating Siseministeeriumile / general appliesToProvision from 185 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating siseministri / general appliesToProvision from 78 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Sotsiaalabiametile / general appliesToProvision from 63 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Sotsiaalkindlustusametile / general appliesToProvision from 304 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Sotsiaalministeerium / general appliesToProvision from 160 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating sotsiaalminister / enforcement appliesToProvision from 124 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating sotsiaalminister / general appliesToProvision from 93 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Statistikaamet / general appliesToProvision from 84 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Tarbijakaitseamet / supervision appliesToProvision from 249 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating taristuministri / general appliesToProvision from 86 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating teadusministrile / enforcement appliesToProvision from 255 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating teadusministrile / general appliesToProvision from 871 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating teadusministrile / regulation appliesToProvision from 259 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Terviseameti / general appliesToProvision from 193 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Tööinspektsiooni / general appliesToProvision from 68 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Transpordiamet / enforcement appliesToProvision from 73 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Transpordiamet / general appliesToProvision from 629 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Transpordiamet / supervision appliesToProvision from 65 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating ühisameti / general appliesToProvision from 58 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Vabariigi President / general appliesToProvision from 84 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Vabariigi Valitsus / general appliesToProvision from 406 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Vabariigi Valitsus / regulation appliesToProvision from 176 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating vald / enforcement appliesToProvision from 87 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating vald / general appliesToProvision from 2853 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating vald / regulation appliesToProvision from 64 → 50; full count surfaced as estleg:appliesToProvisionCount
  WARN: truncating Välisministeerium / general appliesToProvision from 229 → 50; full count surfaced as estleg:appliesToProvisionCount

[3/4] Generating report...
  Saved: institutional_competence_report.json

[4/4] SUMMARY
======================================================================
  Total provisions analysed: 208925
  With institution refs:     55325
  Unique institutions:       112
  Institution files:         112

  Top institutions by provision count:
    Kohalik omavalitsus                            4748 provisions
    vald                                           3048 provisions
    Kohus                                          1427 provisions
    teadusministrile                               1393 provisions
    haridusametile                                 1312 provisions
    linn                                           1152 provisions
    Keskkonnainspektsioon                          1066 provisions
    Haridus- ja Teadusministeeriumi                1064 provisions
    Finantsinspektsioonilt                         866 provisions
    Riigikogu                                      845 provisions
======================================================================

Coverage report: /Volumes/Molumalu/progemoge/law-ontology/krr_outputs/reports/kov/extract_institutional_competence_coverage.json
  input_files_total: 16061 (KOV: 11059)
  files_with_output: 11598 (KOV: 8429)
  triples_emitted (authority references): 64784 (KOV: 48208)
  unresolved_references: 1192; fallback_hits: 0
  unknown_institution_count: 361

GATE OK
